MPN	SE_NAME	COM_ID	COM_PARTNUM	se_manname	Scrubbing_Status
U276	APEM	66221708	U276	BURNDY	Need Scrubbing
100176	APEM	409058251	100176	General Electric	Need Scrubbing
1ZB16	APEM	15882984	1ZB16	Toshiba	Need Scrubbing
206	APEM	415854699	206	Greene Rubber	Need Scrubbing
206	APEM	32985847	206	Marathon Special Products	Need Scrubbing
206	APEM	82370600	206	Energizer Holdings	Need Scrubbing
206	APEM	41980909	206	Polymer Optics Limited	Need Scrubbing
206	APEM	32987652	206	Keystone Electronics Corp	Need Scrubbing
206	APEM	22799225	206	Abbatron	Need Scrubbing
206	APEM	32390587	206	LKG Industries	Need Scrubbing
206	APEM	84033647	206	Platt Luggage	Need Scrubbing
206	APEM	57283413	206	William Hughes Limited	Need Scrubbing
206	APEM	77861098	206	Adafruit Industries	Need Scrubbing
46	APEM	102140945	46	ALTEK Industries	Need Scrubbing
46	APEM	73137210	46	Adafruit Industries	Need Scrubbing
46	APEM	32987822	46	Keystone Electronics Corp	Need Scrubbing
46	APEM	40231816	46	JKL Components	Need Scrubbing
42	APEM	408971139	42	Minor Rubber	Need Scrubbing
86	APEM	45519359	86	JKL Components	Need Scrubbing
86	APEM	45873830	86	OSRAM	Need Scrubbing
86	APEM	32987607	86	Keystone Electronics Corp	Need Scrubbing
86	APEM	414014335	86	"Visual Communications Company, LLC"	Need Scrubbing
75312	APM HEXSEAL	406436182	75312	OSRAM	Need Scrubbing
75042	APM HEXSEAL	407786400	75042	Brady Corporation	Need Scrubbing
75052	APM HEXSEAL	50135736	75052	Plasmetex Industries	Need Scrubbing
BLW86	"ASI Semiconductor, Inc"	18636502	BLW86	NXP Semiconductors	Need Scrubbing
BLW86	"ASI Semiconductor, Inc"	61468819	BLW86	New Jersey Semiconductor	Need Scrubbing
SD1275-01	"ASI Semiconductor, Inc"	18820891	SD1275-01	STMicroelectronics	Need Scrubbing
MRF174	"ASI Semiconductor, Inc"	29420676	MRF174	TE Connectivity	Need Scrubbing
MRF174	"ASI Semiconductor, Inc"	18757766	MRF174	"Motorola Solutions, Inc"	Need Scrubbing
MRF174	"ASI Semiconductor, Inc"	38621063	MRF174	MACOM Technology Solutions	Need Scrubbing
MRF174	"ASI Semiconductor, Inc"	18757766	MRF174	Motorola Solutions, Inc	Need Scrubbing
MRF174	"ASI Semiconductor, Inc"	92771480	MRF174	onsemi	Need Scrubbing
MRF557	"ASI Semiconductor, Inc"	37878470	MRF557	NXP Semiconductors	Need Scrubbing
MRF557	"ASI Semiconductor, Inc"	19796264	MRF557	Microchip Technology	Need Scrubbing
MRF557	"ASI Semiconductor, Inc"	19019334	MRF557	"Motorola Solutions, Inc"	Need Scrubbing
MRF557	"ASI Semiconductor, Inc"	19019334	MRF557	Motorola Solutions, Inc	Need Scrubbing
PRO-OB-572	Abracon	415300203	PRO-OB-572	ProAnt AB	Direct Match Corrected supplier
4760	Adafruit Industries	76379643	4760	Hubbell	Need Scrubbing
4760	Adafruit Industries	64374607	4760	Legrand	Need Scrubbing
4760	Adafruit Industries	404161112	4760	Marinco	Need Scrubbing
4760	Adafruit Industries	37941401	4760	ABB Installation Products, Inc	Need Scrubbing
