MPN	SE_NAME	COM_ID	Scrubbing_Status	COM_PARTNUM	se_manname
TY1200-175X	"ABB Installation Products, Inc"	60882580	TY1200-175X	ABB	1006	Direct Match Corrected supplier
TY400-120-ANTI	"ABB Installation Products, Inc"	422361404	TY400-120-ANTI	ABB	1006	Direct Match Corrected supplier
CPH3225A	ABLIC Inc	50605845	CPH3225A	Seiko Instruments Inc	55324	Direct Match Corrected supplier
MS414GE	ABLIC Inc	418235913	MS414GE	Seiko Instruments Inc	55324	Direct Match Corrected supplier
MS920SE	ABLIC Inc	418235916	MS920SE	Seiko Instruments Inc	55324	Direct Match Corrected supplier
SC16S-9PF20PPM	ABLIC Inc	408501641	SC16S-9PF20PPM	Seiko Instruments Inc	55324	Direct Match Corrected supplier
SC20S-9PF20PPM	ABLIC Inc	408501638	SC20S-9PF20PPM	Seiko Instruments Inc	55324	Direct Match Corrected supplier
SR41W	ABLIC Inc	408015766	SR41W	Seiko Instruments Inc	55324	Direct Match Corrected supplier
TS621E	ABLIC Inc	418235918	TS621E	Seiko Instruments Inc	55324	Direct Match Corrected supplier
M29W640GB7AN6E	Alliance Memory	60984851	M29W640GB7AN6E	Micron Technology	1416	Need Scrubbing
M29W320DB7AZA6F	Alliance Memory	42218843	M29W320DB7AZA6F	Micron Technology	1416	Need Scrubbing
M29W128GH70N3E	Alliance Memory	41519580	M29W128GH70N3E	Micron Technology	1416	Need Scrubbing
M45PE20-VMN6P	Alliance Memory	33538281	M45PE20-VMN6P	Micron Technology	1416	Need Scrubbing
M45PE20-VMN6P	Alliance Memory	19068531	M45PE20-VMN6P	STMicroelectronics	1579	Need Scrubbing
N25Q064A13EF8H0E	Alliance Memory	61052951	N25Q064A13EF8H0E	Micron Technology	1416	Need Scrubbing
N25Q064A13ESFA0F	Alliance Memory	51619432	N25Q064A13ESFA0F	Micron Technology	1416	Need Scrubbing
N25Q032A13EF640F	Alliance Memory	43158795	N25Q032A13EF640F	Micron Technology	1416	Need Scrubbing
N25Q032A13ESC40G	Alliance Memory	43158799	N25Q032A13ESC40G	Micron Technology	1416	Need Scrubbing
N25Q032A13ESFA0F	Alliance Memory	51550405	N25Q032A13ESFA0F	Micron Technology	1416	Need Scrubbing
N25Q064A13EF640E	Alliance Memory	43710722	N25Q064A13EF640E	Micron Technology	1416	Need Scrubbing
M29F160FT55N3E2	Alliance Memory	41519521	M29F160FT55N3E2	Micron Technology	1416	Need Scrubbing
M29F400FB55N3E2	Alliance Memory	40371266	M29F400FB55N3E2	Micron Technology	1416	Need Scrubbing
M29F400FT5AN6E2	Alliance Memory	41519559	M29F400FT5AN6E2	Micron Technology	1416	Need Scrubbing
M25P80-VMN3TPB	Alliance Memory	43318589	M25P80-VMN3TPB	Micron Technology	1416	Need Scrubbing
M29W640GH70ZA6E	Alliance Memory	34507780	M29W640GH70ZA6E	Micron Technology	1416	Need Scrubbing
M29W640GH70ZA6E	Alliance Memory	25595216	M29W640GH70ZA6E	STMicroelectronics	1579	Need Scrubbing
M29W640GT7AN6E	Alliance Memory	56714905	M29W640GT7AN6E	Micron Technology	1416	Need Scrubbing
M29F800FB5AN6F2	Alliance Memory	40371247	M29F800FB5AN6F2	Micron Technology	1416	Need Scrubbing
PF48F4000P0ZBQEF	Alliance Memory	42736430	PF48F4000P0ZBQEF	Micron Technology	1416	Need Scrubbing
PC28F640P33TF60A	Alliance Memory	46311611	PC28F640P33TF60A	Micron Technology	1416	Need Scrubbing
PC48F4400P0TB0EE	Alliance Memory	46308192	PC48F4400P0TB0EE	Micron Technology	1416	Need Scrubbing
PC28F128P33BF60A	Alliance Memory	48708125	PC28F128P33BF60A	Micron Technology	1416	Need Scrubbing
PC28F640J3F75A	Alliance Memory	42929723	PC28F640J3F75A	Micron Technology	1416	Need Scrubbing
PC28F640P30BF65B	Alliance Memory	51944241	PC28F640P30BF65B	Micron Technology	1416	Need Scrubbing
M58BW016FB7T3F	Alliance Memory	38090584	M58BW016FB7T3F	Micron Technology	1416	Need Scrubbing
M29W064FB70N3E	Alliance Memory	38219080	M29W064FB70N3E	Micron Technology	1416	Need Scrubbing
SST59U	Belden	79958426	SST59U	"ABB Installation Products, Inc"	3165	Direct Match Corrected supplier
SST59U	Belden	79958426	SST59U	ABB Installation Products, Inc	3165	Direct Match Corrected supplier
311P409-2P-B-12	C&K	25591968	311P409-2P-B-12	TE Connectivity	1629	Need Scrubbing
311P409-2P-B-12	C&K	62354697	311P409-2P-B-12	ITT Inc	1351	Direct Match Corrected supplier
CXM50	Chemtronics	20330122	CXM50	Illinois Tool Works	2705	Direct Match Corrected supplier
8200-W	Corning Incorporated	26139916	8200-W	3M	1003	Direct Match Corrected supplier
Q-B-5AS	Desco Industries	415395459	Q-B-5AS	EasyBraid	4038	Direct Match Corrected supplier
OS-D-5AS	Desco Industries	415394189	OS-D-5AS	EasyBraid	4038	Direct Match Corrected supplier
MS621T	ABLIC Inc	405508518	MS621T	Seiko Instruments Inc	55324	Direct Match Corrected supplier
VT200F-12.5PF20PPM	ABLIC Inc	408501644	VT200F-12.5PF20PPM	Seiko Instruments Inc	55324	Direct Match Corrected supplier
M29W320EB70ZE6E	Alliance Memory	19103904	M29W320EB70ZE6E	STMicroelectronics	1579	Need Scrubbing
M29W320EB70ZE6E	Alliance Memory	33538249	M29W320EB70ZE6E	Micron Technology	1416	Need Scrubbing
PC28F640P30TF65B	Alliance Memory	53064097	PC28F640P30TF65B	Micron Technology	1416	Need Scrubbing
PC28F128P30BF65A	Alliance Memory	46308314	PC28F128P30BF65A	Micron Technology	1416	Need Scrubbing
PC28F320J3F75B	Alliance Memory	46308238	PC28F320J3F75B	Micron Technology	1416	Need Scrubbing
PC28F512P30TFB	Alliance Memory	46311648	PC28F512P30TFB	Micron Technology	1416	Need Scrubbing
MT41K1G8SN-107 IT:A	Alliance Memory	73148372	MT41K1G8SN-107 IT:A	Micron Technology	1416	Need Scrubbing
MT48LC16M16A2P-7E IT:G	Alliance Memory	47427764	MT48LC16M16A2P-7E IT:G	Micron Technology	1416	Need Scrubbing
M58BW32FB4ZA3T	Alliance Memory	21628490	M58BW32FB4ZA3T	STMicroelectronics	1579	Need Scrubbing
M58BW32FB4ZA3T	Alliance Memory	36343347	M58BW32FB4ZA3T	Micron Technology	1416	Need Scrubbing
